source,target,value
0,169,0.37304025743658603
0,128,0.4306193994241836
0,5,0.6495961286234315
1,102,0.39437488475348903
2,90,0.34551057197206814
2,143,0.6025537139675772
2,3,0.25430690834492725
3,90,0.32034655396730927
4,42,0.31334896076140095
5,169,0.31344223133562
5,128,0.4680942259174591
5,58,0.2145852501736799
5,170,0.08126365974626693
6,108,0.43667057284303884
7,134,0.6187180748259027
8,109,0.6931471805599455
9,50,0.49499205999631546
9,17,0.18210367659740972
9,65,0.2490637194369362
10,68,0.3167369886411533
10,85,0.33465019340567337
10,161,0.37296409395691665
10,25,0.5984320626444892
11,43,0.6529000019100758
12,100,0.6931471805599452
12,98,0.3683726859278168
13,51,0.47906153342015445
13,178,0.3776828366771685
14,66,0.4262958552904122
14,114,0.2207480493450711
15,112,0.38100509875166394
15,162,0.5535509432233853
16,60,0.5457708807899331
16,47,0.560409359890433
17,50,0.4790155919184368
17,65,0.17951882470950348
18,95,0.5916491403522712
18,72,0.6711043995059233
18,145,0.49771970058240345
19,163,0.6607644723925006
20,46,0.3438477866214464
20,153,0.4303693155321829
21,184,0.5508512159369492
21,22,0.3163899777077509
21,82,0.11098152399578039
22,82,0.2501445220951565
23,41,0.3113453535809597
24,157,0.30679951732736166
24,118,0.2946107191313557
25,68,0.5097587897093497
26,174,0.48375282455510527
27,181,0.6485209223156219
27,113,0.6931471805599453
28,172,0.2221266305689124
29,144,0.3547408740386837
29,77,0.6931471805599452
29,115,0.597006630566931
29,122,0.6931471805599454
29,177,0.38188579085850516
30,96,0.39161992358774145
31,37,0.2318598216374026
32,75,0.14882728087622046
33,101,0.6181691612774376
34,45,0.31352789880043125
35,84,0.481451356749347
35,83,0.40705253018833576
36,71,0.5821258800941014
36,185,0.4187288710566643
36,86,0.6931471805599454
38,132,0.4408338022040816
39,78,0.21544869318199128
40,116,0.3945536958839117
42,141,0.24190471956495901
44,120,0.5036451716033256
44,173,0.24595335764181223
44,155,0.5473287000546825
44,138,0.5353862634766785
45,125,0.17941991270980362
46,153,0.3883018178016931
47,60,0.5391758761424078
48,148,0.0876658913542544
49,94,0.353961044610245
51,178,0.22786176853822884
52,73,0.35376031165551836
52,154,0.2105709480543741
53,148,0.4856372828732576
53,186,0.5183593929843844
54,149,0.21742978424507028
54,116,0.4333772057487655
55,57,0.6931471805599454
56,156,0.15346652290058635
56,93,0.4014160989093865
56,168,0.44734702572723795
58,164,0.29866722267491697
58,126,0.5237635692836831
58,61,0.43275340394189177
58,170,0.20702518013714133
59,87,0.6640584042716171
59,160,0.4965892634806006
61,126,0.4457238478579216
62,121,0.3748900964125389
63,117,0.6282460039938246
64,142,0.37932308854882757
66,114,0.49392322299521396
67,135,0.09592620670098287
67,182,0.5395293265327623
69,79,0.19610912628613453
70,81,0.3213339650908932
70,159,0.4407618882894676
71,185,0.3156658174796775
71,86,0.4204574812307652
72,95,0.579240454610896
72,145,0.5759985305616604
73,154,0.342584348426189
74,106,0.34031345354235487
76,139,0.42558101041557705
76,91,0.3547657710136604
77,144,0.442473835998767
77,115,0.1258386680027066
77,122,0.1692583525599347
77,177,0.33510796089411304
80,151,0.43405623072613775
81,159,0.44039049424336846
83,84,0.3664032669397167
85,161,0.47476042297271503
86,185,0.6931471805599452
87,160,0.6453280771350383
88,147,0.6584793235011894
89,123,0.48372274730056114
89,165,0.31983624601142346
90,146,0.44031381341740866
91,139,0.30181127339778435
92,152,0.5341677788156938
92,187,0.38276838057924967
93,156,0.39084326551854964
93,168,0.27623904596164667
94,105,0.281358914724807
95,145,0.3277762812826234
97,158,0.4650327973125481
98,100,0.641110576493914
99,104,0.1974169398769469
103,133,0.23573706384831136
107,183,0.5988378071273535
110,171,0.6931471805599452
111,136,0.5378372504958885
112,162,0.5203048254020667
113,181,0.673937143027324
115,144,0.3539690426708857
115,122,0.15650218703532406
115,177,0.35074402984808173
116,149,0.5001265367594737
118,157,0.07173810922367915
119,123,0.10321177770076645
119,140,0.33307156639400326
120,173,0.48490035155352795
120,155,0.478608120171927
120,138,0.562569879293569
122,144,0.4613370024798754
122,177,0.42638646261166535
123,165,0.3498106858493083
124,167,0.25830176353476764
127,176,0.26597428020724134
128,169,0.3931722779600443
129,179,0.4350186414849414
130,180,0.21879524675542267
131,166,0.48811620249632104
135,182,0.49262810983800737
137,150,0.2676120594824001
138,173,0.45107284311803697
138,155,0.6288285996831189
144,175,0.3819660944341946
144,177,0.28730600815000445
148,186,0.5482712793478283
155,173,0.48462026731340335
156,168,0.3602307551428365
