"type","i","author","value"
"low",1,"P",0
"low",2,"P",0
"low",3,"P",0
"low",4,"P",0
"low",5,"P",1
"low",6,"P",1
"low",7,"P",1
"low",8,"P",1
"low",9,"P",1
"low",10,"P",2
"low",11,"P",2
"low",12,"P",3
"low",13,"P",3
"low",14,"P",4
"low",15,"P",4
"low",16,"P",5
"high",1,"P",0
"high",2,"P",0
"high",3,"P",0
"high",4,"P",0
"high",5,"P",0
"high",6,"P",0
"high",7,"P",0
"high",8,"P",0
"high",9,"P",0
"high",10,"P",0
"high",11,"P",0
"high",12,"P",0
"high",13,"P",0
"high",14,"P",0
"high",15,"P",0
"high",16,"P",0
"high",17,"P",0
"high",18,"P",0
"high",19,"P",0
"high",20,"P",0
"high",21,"P",0
"high",22,"P",0
"high",23,"P",0
"high",24,"P",1
"high",25,"P",1
"high",26,"P",1
"high",27,"P",1
"high",28,"P",1
"high",29,"P",1
"high",30,"P",1
"high",31,"P",1
"high",32,"P",2
"high",33,"P",2
"high",34,"P",3
"high",35,"P",4
"high",36,"P",5
"high",37,"P",6
"high",38,"P",6
"middle",1,"P",0
"middle",2,"P",0
"middle",3,"P",0
"middle",4,"P",0
"middle",5,"P",0
"middle",6,"P",0
"middle",7,"P",0
"middle",8,"P",0
"middle",9,"P",0
"middle",10,"P",1
"middle",11,"P",1
"middle",12,"P",1
"middle",13,"P",1
"middle",14,"P",1
"middle",15,"P",1
"middle",16,"P",1
"middle",17,"P",1
"middle",18,"P",1
"middle",19,"P",2
"middle",20,"P",2
"middle",21,"P",2
"middle",22,"P",2
"middle",23,"P",2
"middle",24,"P",3
"middle",25,"P",3
"middle",26,"P",3
"middle",27,"P",4
"middle",28,"P",4
"middle",29,"P",5
"middle",30,"P",5
"middle",31,"P",10
"middle",32,"P",15
"low",1,"Q",2
"low",2,"Q",1
"low",3,"Q",1
"low",4,"Q",1
"low",5,"Q",2
"low",6,"Q",1
"low",7,"Q",0
"low",8,"Q",0
"low",9,"Q",0
"low",10,"Q",3
"low",11,"Q",1
"low",12,"Q",4
"low",13,"Q",2
"low",14,"Q",6
"low",15,"Q",4
"low",16,"Q",6
"high",1,"Q",11
"high",2,"Q",4
"high",3,"Q",3
"high",4,"Q",3
"high",5,"Q",2
"high",6,"Q",2
"high",7,"Q",2
"high",8,"Q",1
"high",9,"Q",1
"high",10,"Q",1
"high",11,"Q",1
"high",12,"Q",1
"high",13,"Q",1
"high",14,"Q",1
"high",15,"Q",1
"high",16,"Q",1
"high",17,"Q",1
"high",18,"Q",1
"high",19,"Q",1
"high",20,"Q",1
"high",21,"Q",1
"high",22,"Q",1
"high",23,"Q",1
"high",24,"Q",1
"high",25,"Q",0
"high",26,"Q",0
"high",27,"Q",0
"high",28,"Q",0
"high",29,"Q",0
"high",30,"Q",0
"high",31,"Q",0
"high",32,"Q",0
"high",33,"Q",0
"high",34,"Q",0
"high",35,"Q",0
"high",36,"Q",0
"high",37,"Q",0
"high",38,"Q",0
"middle",1,"Q",4
"middle",2,"Q",1
"middle",3,"Q",1
"middle",4,"Q",1
"middle",5,"Q",1
"middle",6,"Q",1
"middle",7,"Q",1
"middle",8,"Q",1
"middle",9,"Q",1
"middle",10,"Q",2
"middle",11,"Q",0
"middle",12,"Q",0
"middle",13,"Q",0
"middle",14,"Q",0
"middle",15,"Q",0
"middle",16,"Q",0
"middle",17,"Q",0
"middle",18,"Q",0
"middle",19,"Q",3
"middle",20,"Q",1
"middle",21,"Q",1
"middle",22,"Q",1
"middle",23,"Q",0
"middle",24,"Q",1
"middle",25,"Q",0
"middle",26,"Q",0
"middle",27,"Q",0
"middle",28,"Q",0
"middle",29,"Q",0
"middle",30,"Q",0
"middle",31,"Q",4
"middle",32,"Q",1
